box,sensor,label
126.0,1015.0,B
128.0,1015.0,B
125.0,1015.0,B
126.0,1015.0,B
122.0,1015.0,B
125.0,1015.0,B
124.0,1015.0,B
124.0,1015.0,B
124.0,1015.0,B
124.0,1015.0,B
125.0,1015.0,B
122.0,1015.0,B
124.0,1015.0,B
124.0,1015.0,B
123.0,1015.0,B
123.0,1015.0,B
124.0,1015.0,B
123.0,1015.0,B
122.0,1014.0,B
123.0,1014.0,B
122.0,1014.0,B
122.0,1014.0,B
123.0,1014.0,B
124.0,1014.0,B
124.0,1014.0,B
123.0,1014.0,B
125.0,1014.0,B
123.0,1014.0,B
125.0,1014.0,B
120.0,1014.0,B
122.0,1014.0,B
123.0,1014.0,B
124.0,1014.0,B
123.0,1014.0,B
124.0,1014.0,B
125.0,1014.0,B
122.0,1015.0,B
123.0,1015.0,B
123.0,1015.0,B
125.0,1014.0,B
125.0,1015.0,B
125.0,1014.0,B
124.0,1015.0,B
123.0,1015.0,B
123.0,1015.0,B
122.0,1015.0,B
122.0,1015.0,B
121.0,1015.0,B
121.0,1015.0,B
121.0,1015.0,B
121.0,1015.0,B
121.0,1015.0,B
122.0,1015.0,B
122.0,1015.0,B
122.0,1014.0,C
122.0,1014.0,C
122.0,1015.0,C
124.0,1014.0,C
122.0,1014.0,C
124.0,1014.0,C
122.0,1014.0,C
121.0,1014.0,C
123.0,1014.0,C
123.0,1014.0,C
123.0,1014.0,C
130.0,1014.0,C
130.0,1014.0,C
131.0,1014.0,C
136.0,1014.0,C
139.0,1014.0,C
144.0,1014.0,C
142.0,1014.0,C
149.0,1014.0,C
153.0,1014.0,C
155.0,1014.0,C
161.0,1014.0,C
170.0,1014.0,C
172.0,1014.0,C
170.0,1014.0,C
171.0,1014.0,C
168.0,1014.0,C
171.0,1014.0,C
171.0,1013.0,C
171.0,1013.0,C
172.0,1014.0,C
173.0,1013.0,C
172.0,1013.0,C
174.0,1013.0,C
169.0,1013.0,C
169.0,1013.0,C
170.0,1013.0,C
170.0,1013.0,C
170.0,1013.0,C
172.0,1013.0,C
168.0,1013.0,C
171.0,1013.0,C
166.0,1013.0,C
171.0,1013.0,C
166.0,1013.0,C
166.0,1013.0,C
168.0,1013.0,C
168.0,1013.0,C
167.0,1013.0,C
167.0,1013.0,C
167.0,1013.0,C
169.0,1013.0,C
169.0,1013.0,C
169.0,1013.0,C
169.0,1013.0,C
168.0,1013.0,C
169.0,1013.0,C
169.0,1013.0,C
171.0,1013.0,C
173.0,1013.0,C
170.0,1013.0,C
168.0,1013.0,C
175.0,1013.0,C
174.0,1013.0,C
176.0,1013.0,C
176.0,1013.0,C
178.0,1013.0,C
177.0,1013.0,C
179.0,1013.0,C
178.0,1013.0,C
177.0,1013.0,C
177.0,1013.0,C
175.0,1014.0,C
177.0,1014.0,C
182.0,1013.0,C
179.0,1013.0,C
180.0,1013.0,C
182.0,1013.0,C
180.0,1013.0,C
178.0,1013.0,C
181.0,1013.0,C
182.0,1013.0,C
179.0,1013.0,C
185.0,1013.0,C
182.0,1013.0,C
183.0,1013.0,C
180.0,1013.0,C
180.0,1013.0,C
178.0,1013.0,C
176.0,1013.0,C
180.0,1013.0,C
173.0,1013.0,C
169.0,1013.0,C
171.0,1013.0,C
174.0,1013.0,C
175.0,1013.0,C
175.0,1013.0,C
178.0,1013.0,C
175.0,1013.0,C
178.0,1014.0,C
174.0,1014.0,C
174.0,1014.0,C
174.0,1014.0,C
171.0,1014.0,C
175.0,1014.0,C
177.0,1014.0,C
174.0,1014.0,C
176.0,1014.0,C
171.0,1014.0,C
172.0,1014.0,C
167.0,1014.0,C
170.0,1014.0,C
171.0,1014.0,C
169.0,1014.0,C
167.0,1014.0,C
171.0,1014.0,C
169.0,1014.0,C
170.0,1013.0,C
174.0,1013.0,C
172.0,1013.0,C
169.0,1013.0,C
169.0,1013.0,C
169.0,1013.0,C
169.0,1013.0,C
170.0,1013.0,C
168.0,1013.0,C
167.0,1013.0,C
169.0,1013.0,C
168.0,1013.0,C
171.0,1013.0,C
173.0,1013.0,C
170.0,1013.0,C
172.0,1013.0,C
170.0,1013.0,C
169.0,1013.0,C
167.0,1013.0,C
167.0,1013.0,C
167.0,1013.0,C
